id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
36915,45,admin.,married,basic.9y,no,yes,no,telephone,jun,mon,60,2,999,0,nonexistent,-2.9,92.963,-40.8,1.215,5076.2
33728,30,technician,single,high.school,no,yes,no,cellular,may,wed,9,12,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
22969,31,admin.,married,university.degree,no,no,no,cellular,aug,mon,119,9,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
8925,41,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,348,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1
144,38,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
36968,47,housemaid,married,basic.6y,unknown,no,yes,cellular,jul,thu,148,1,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2
36562,69,entrepreneur,married,high.school,no,no,no,cellular,jun,wed,140,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2
40868,26,technician,single,university.degree,no,no,no,cellular,oct,wed,649,1,999,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6
14050,41,self-employed,divorced,professional.course,no,no,no,cellular,jul,fri,911,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
10835,36,blue-collar,single,high.school,no,yes,no,telephone,jun,wed,835,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1
11042,31,services,single,high.school,no,no,no,telephone,jun,wed,49,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1
23685,33,admin.,single,university.degree,no,yes,no,cellular,aug,thu,289,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
24425,33,blue-collar,married,basic.9y,no,yes,yes,cellular,nov,mon,94,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8
8725,30,blue-collar,married,basic.6y,no,no,no,telephone,jun,wed,201,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
25809,30,management,married,university.degree,no,no,no,cellular,nov,wed,72,5,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
24999,50,entrepreneur,married,basic.9y,no,no,no,telephone,nov,tue,2,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
12662,38,blue-collar,married,unknown,unknown,no,no,cellular,jul,mon,340,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
41020,25,student,single,high.school,no,yes,no,cellular,oct,fri,234,1,3,1,success,-1.1,94.601,-49.5,1.029,4963.6
756,30,services,married,university.degree,no,yes,no,telephone,may,wed,51,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
28062,45,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,fri,905,1,999,1,failure,-1.8,93.075,-47.1,1.479,5099.1
6314,55,retired,married,high.school,no,yes,no,telephone,may,tue,591,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
12357,45,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,297,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1
12515,39,admin.,married,high.school,no,yes,no,cellular,jul,mon,201,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
23461,44,technician,married,professional.course,no,yes,no,cellular,aug,wed,27,9,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
6108,34,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,59,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
32668,34,technician,married,professional.course,no,yes,no,cellular,may,mon,934,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1
38202,63,retired,married,high.school,no,yes,no,cellular,oct,wed,323,1,999,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5
2464,36,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,296,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
33789,24,admin.,married,basic.9y,no,yes,no,cellular,may,wed,302,1,10,1,success,-1.8,92.893,-46.2,1.281,5099.1
15983,24,admin.,single,high.school,no,yes,no,telephone,jul,mon,722,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
12893,37,blue-collar,single,basic.6y,no,no,no,cellular,jul,tue,338,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
24129,52,technician,divorced,university.degree,no,no,no,cellular,nov,mon,215,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8
27059,31,admin.,single,high.school,no,yes,no,cellular,nov,fri,63,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
39196,41,admin.,divorced,university.degree,no,yes,no,cellular,mar,fri,498,2,6,3,success,-1.8,93.369,-34.8,0.653,5008.7
29731,60,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,mon,89,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
27101,35,admin.,single,university.degree,no,yes,no,cellular,nov,fri,530,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
4500,50,admin.,single,university.degree,no,yes,no,telephone,may,tue,169,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
27190,50,admin.,married,university.degree,no,yes,yes,cellular,nov,fri,189,2,999,1,failure,-0.1,93.2,-42,4.021,5195.8
3419,45,blue-collar,married,basic.4y,no,yes,no,telephone,may,thu,276,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
40576,33,technician,single,professional.course,no,no,no,cellular,sep,wed,425,1,999,0,nonexistent,-1.1,94.199,-37.5,0.886,4963.6
26278,42,management,married,university.degree,no,no,no,cellular,nov,thu,110,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
38246,77,retired,married,university.degree,no,no,yes,cellular,oct,mon,348,1,999,0,nonexistent,-3.4,92.431,-26.9,0.743,5017.5
1631,32,admin.,married,high.school,no,yes,no,telephone,may,fri,83,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
2990,43,services,single,high.school,unknown,yes,no,telephone,may,wed,902,5,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
37777,57,retired,married,university.degree,no,yes,no,cellular,aug,mon,349,1,999,0,nonexistent,-2.9,92.201,-31.4,0.843,5076.2
18428,47,admin.,married,high.school,unknown,no,yes,telephone,jul,thu,225,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
26095,44,entrepreneur,married,university.degree,no,yes,no,cellular,nov,wed,676,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
32714,51,entrepreneur,married,professional.course,unknown,no,no,cellular,may,mon,295,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1
35636,28,services,single,high.school,no,yes,no,cellular,may,mon,91,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
18183,36,admin.,married,high.school,no,yes,no,cellular,jul,wed,136,13,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
216,30,blue-collar,single,unknown,no,yes,no,telephone,may,mon,251,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
13328,30,admin.,married,university.degree,no,yes,no,telephone,jul,wed,693,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
24444,32,admin.,single,high.school,no,yes,no,cellular,nov,mon,92,1,999,1,failure,-0.1,93.2,-42,4.191,5195.8
25602,43,services,divorced,high.school,no,no,no,cellular,nov,wed,466,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
3445,40,blue-collar,single,basic.4y,unknown,no,no,telephone,may,thu,487,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
33317,41,management,married,high.school,unknown,yes,no,cellular,may,tue,527,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
13282,44,admin.,married,high.school,no,yes,no,cellular,jul,wed,97,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
4243,46,blue-collar,married,basic.4y,no,yes,yes,telephone,may,tue,409,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
13926,36,services,single,high.school,no,yes,no,cellular,jul,fri,249,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
3270,46,blue-collar,single,basic.4y,no,no,no,telephone,may,thu,218,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
34279,31,services,married,high.school,no,yes,no,cellular,may,thu,348,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
34151,56,blue-collar,married,basic.4y,no,yes,yes,cellular,may,wed,80,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
18143,25,services,single,basic.9y,no,yes,no,cellular,jul,wed,535,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
26517,53,management,married,high.school,no,no,no,cellular,nov,thu,227,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
8085,49,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,mon,174,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
27441,40,management,married,high.school,no,yes,no,cellular,nov,fri,7,4,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
41031,25,student,single,high.school,no,yes,no,cellular,oct,mon,189,1,6,4,success,-1.1,94.601,-49.5,1.032,4963.6
25158,40,admin.,divorced,basic.9y,no,no,no,cellular,nov,tue,179,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
26621,31,unemployed,single,professional.course,no,yes,no,cellular,nov,thu,70,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
38324,28,services,married,basic.9y,no,yes,no,telephone,oct,fri,186,1,999,1,failure,-3.4,92.431,-26.9,0.739,5017.5
8231,35,blue-collar,married,basic.9y,no,yes,no,telephone,jun,tue,126,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
28107,44,management,divorced,university.degree,no,yes,no,cellular,apr,fri,230,1,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1
11011,42,admin.,married,basic.6y,no,yes,no,telephone,jun,wed,300,3,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1
532,41,blue-collar,married,basic.6y,no,no,no,telephone,may,tue,13,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
11511,60,retired,divorced,university.degree,no,yes,no,telephone,jun,fri,98,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
22236,29,admin.,single,high.school,no,yes,no,cellular,aug,thu,788,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
36852,53,housemaid,married,basic.4y,no,yes,no,cellular,jun,tue,245,2,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2
38578,60,technician,married,basic.4y,no,yes,no,cellular,oct,thu,133,6,999,2,failure,-3.4,92.431,-26.9,0.722,5017.5
10646,45,admin.,divorced,university.degree,unknown,yes,no,telephone,jun,tue,205,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
29822,52,entrepreneur,married,basic.9y,no,yes,yes,telephone,apr,mon,67,5,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
16548,49,self-employed,divorced,university.degree,no,no,yes,cellular,jul,wed,207,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
2000,42,self-employed,married,university.degree,no,yes,no,telephone,may,mon,1002,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
28517,45,blue-collar,married,basic.9y,unknown,yes,no,cellular,apr,tue,72,4,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1
17075,42,admin.,single,high.school,no,no,yes,cellular,jul,fri,295,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
6330,28,management,married,university.degree,no,no,no,telephone,may,tue,371,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
29675,33,blue-collar,married,high.school,no,no,no,cellular,apr,mon,87,2,999,2,failure,-1.8,93.075,-47.1,1.405,5099.1
18294,38,admin.,married,unknown,no,yes,no,cellular,jul,wed,87,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
23558,46,technician,married,university.degree,no,yes,no,cellular,aug,thu,13,14,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
7945,54,admin.,married,high.school,unknown,yes,no,telephone,jun,mon,490,12,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
23678,45,technician,divorced,professional.course,no,no,no,cellular,aug,thu,76,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
11335,38,admin.,married,high.school,no,yes,no,telephone,jun,thu,117,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
729,24,technician,single,professional.course,no,no,no,telephone,may,tue,421,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
20940,31,technician,married,university.degree,no,yes,no,cellular,aug,thu,214,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
4168,29,technician,married,professional.course,no,yes,no,telephone,may,mon,124,42,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
33960,38,housemaid,divorced,university.degree,no,yes,no,cellular,may,wed,213,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
11096,31,technician,single,professional.course,unknown,no,yes,telephone,jun,thu,127,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
4009,35,admin.,married,university.degree,no,yes,yes,telephone,may,mon,67,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
22492,54,blue-collar,married,unknown,unknown,yes,yes,cellular,aug,fri,150,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
6222,36,services,married,high.school,unknown,no,no,telephone,may,tue,318,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
25749,44,services,married,high.school,no,no,no,cellular,nov,wed,37,1,999,1,failure,-0.1,93.2,-42,4.12,5195.8
22363,53,blue-collar,married,basic.4y,no,yes,no,cellular,aug,thu,195,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
15476,35,technician,married,university.degree,no,no,no,cellular,jul,fri,642,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
13028,27,admin.,single,professional.course,no,yes,yes,cellular,jul,tue,520,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
10016,32,entrepreneur,married,high.school,unknown,no,no,telephone,jun,wed,850,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
10098,49,services,married,high.school,unknown,no,no,telephone,jun,thu,128,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
29959,53,blue-collar,married,basic.6y,no,yes,yes,cellular,apr,mon,208,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
7474,24,technician,single,professional.course,unknown,yes,yes,telephone,may,fri,447,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191
13544,31,admin.,divorced,high.school,no,no,no,cellular,jul,thu,128,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
22979,44,admin.,married,university.degree,no,no,no,cellular,aug,mon,56,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
13321,28,blue-collar,married,basic.4y,unknown,no,yes,cellular,jul,wed,98,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
15044,49,technician,divorced,high.school,no,no,no,cellular,jul,thu,124,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
40190,54,admin.,married,university.degree,no,no,yes,cellular,jul,fri,84,5,999,2,failure,-1.7,94.215,-40.3,0.861,4991.6
40819,31,admin.,married,university.degree,no,yes,no,cellular,sep,fri,232,2,13,1,success,-1.1,94.199,-37.5,0.879,4963.6
6065,45,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,643,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
22232,45,technician,single,university.degree,no,no,no,cellular,aug,thu,545,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
35080,37,admin.,married,high.school,no,yes,no,cellular,may,fri,22,6,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
6912,47,blue-collar,single,basic.9y,no,yes,no,telephone,may,thu,54,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
857,47,blue-collar,married,professional.course,unknown,yes,no,telephone,may,wed,131,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
35753,52,admin.,divorced,high.school,no,yes,no,telephone,may,mon,54,2,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1
9590,54,technician,single,basic.9y,no,no,no,telephone,jun,mon,186,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
3290,47,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,thu,221,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
34533,26,blue-collar,single,basic.9y,no,no,no,cellular,may,thu,294,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
22846,37,technician,married,university.degree,no,yes,no,cellular,aug,mon,121,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
14181,38,blue-collar,married,high.school,unknown,no,no,cellular,jul,mon,90,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
12005,52,technician,married,basic.9y,no,yes,yes,telephone,jun,thu,138,3,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1
37977,54,technician,married,professional.course,no,no,no,cellular,sep,mon,99,1,999,0,nonexistent,-3.4,92.379,-29.8,0.797,5017.5
4559,43,technician,married,unknown,no,yes,no,telephone,may,tue,324,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
22944,59,management,married,university.degree,no,no,no,cellular,aug,mon,163,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
5987,51,unemployed,married,professional.course,no,no,no,telephone,may,tue,171,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
11806,29,blue-collar,married,unknown,unknown,no,yes,telephone,jun,fri,55,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
6245,34,admin.,single,university.degree,no,yes,no,telephone,may,tue,40,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
16227,37,student,single,unknown,no,yes,no,cellular,jul,tue,661,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
35751,38,admin.,single,high.school,no,no,no,cellular,may,mon,22,3,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
10089,55,self-employed,married,unknown,unknown,yes,yes,telephone,jun,thu,278,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
29632,56,services,married,basic.4y,no,yes,yes,cellular,apr,mon,15,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
37063,42,blue-collar,married,basic.6y,no,yes,no,cellular,jul,wed,72,1,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2
31440,34,admin.,married,university.degree,no,no,no,telephone,may,wed,149,4,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
37493,81,retired,married,basic.6y,no,no,no,cellular,aug,thu,189,2,4,1,success,-2.9,92.201,-31.4,0.873,5076.2
23250,44,technician,divorced,professional.course,no,no,no,cellular,aug,wed,157,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
13415,25,technician,married,university.degree,no,unknown,unknown,telephone,jul,wed,446,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
26915,30,admin.,married,high.school,no,no,no,cellular,nov,thu,361,2,999,1,failure,-0.1,93.2,-42,4.076,5195.8
33666,29,self-employed,single,professional.course,no,yes,no,cellular,may,wed,774,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1
25576,47,services,married,high.school,no,yes,no,cellular,nov,wed,311,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
40348,37,technician,single,university.degree,no,yes,no,cellular,aug,tue,481,2,999,4,failure,-1.7,94.027,-38.3,0.899,4991.6
36547,50,admin.,single,basic.9y,no,unknown,unknown,cellular,jun,wed,699,1,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2
33718,31,admin.,single,high.school,no,yes,no,cellular,may,wed,850,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
39440,35,admin.,married,university.degree,no,yes,no,cellular,apr,mon,176,1,999,0,nonexistent,-1.8,93.749,-34.6,0.642,5008.7
27129,29,admin.,married,high.school,no,yes,no,cellular,nov,fri,140,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
6112,53,self-employed,married,university.degree,no,no,yes,telephone,may,tue,202,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
10329,29,admin.,single,basic.9y,unknown,no,no,telephone,jun,mon,1298,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1
4325,45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,253,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
24079,39,management,married,university.degree,no,yes,no,telephone,nov,wed,204,1,999,0,nonexistent,-0.1,93.2,-42,4.663,5195.8
19565,41,unemployed,divorced,university.degree,unknown,yes,no,cellular,aug,thu,122,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
28924,55,admin.,married,basic.4y,no,no,no,cellular,apr,fri,198,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
2385,41,technician,single,professional.course,no,yes,no,telephone,may,tue,122,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
26749,30,services,married,high.school,no,no,no,cellular,nov,thu,186,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
27147,50,blue-collar,divorced,professional.course,no,yes,no,cellular,nov,fri,102,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
8278,37,management,married,university.degree,no,no,no,telephone,jun,tue,303,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
20190,41,self-employed,married,university.degree,no,no,no,cellular,aug,mon,247,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
14005,35,admin.,married,high.school,no,no,no,cellular,jul,fri,213,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
37330,58,technician,married,professional.course,no,no,no,cellular,aug,tue,704,2,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2
24135,34,admin.,single,high.school,no,no,no,cellular,nov,mon,303,1,999,1,failure,-0.1,93.2,-42,4.191,5195.8
2757,48,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,158,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
8814,30,technician,single,professional.course,no,unknown,unknown,telephone,jun,thu,67,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1
40163,70,retired,divorced,basic.4y,no,no,no,cellular,jul,thu,390,2,6,2,success,-1.7,94.215,-40.3,0.846,4991.6
37795,63,technician,married,unknown,no,yes,no,cellular,aug,tue,279,1,999,1,failure,-2.9,92.201,-31.4,0.838,5076.2
26142,53,unemployed,married,basic.9y,no,yes,no,cellular,nov,wed,248,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
3986,51,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,792,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
26938,33,management,single,university.degree,no,no,no,cellular,nov,thu,2420,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
28909,54,entrepreneur,married,basic.9y,no,yes,yes,cellular,apr,fri,52,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
9060,39,blue-collar,married,basic.6y,no,no,no,telephone,jun,thu,31,5,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1
40629,27,services,single,high.school,no,no,yes,telephone,sep,mon,35,1,999,0,nonexistent,-1.1,94.199,-37.5,0.882,4963.6
26890,43,technician,married,professional.course,no,no,no,cellular,nov,thu,75,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
19651,36,admin.,married,high.school,unknown,yes,no,cellular,aug,thu,165,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
9254,42,technician,married,basic.9y,no,no,no,telephone,jun,fri,100,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
9267,41,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,fri,326,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
